text,username,followers,label,confidence,explanations
Grateful for 10K followers!,user0106,6710,Real,0.92,
Grateful for 10K followers!,user0107,9866,Real,0.92,
Excited to announce our new product.,user0108,9419,Real,0.95,
We just hit a milestone!,user0109,5423,Real,0.98,
Join us for the live event tomorrow.,user0110,6503,Real,0.92,
Click here to claim your iPhone now!,user0111,558,Fake,0.9,"click, claim"
Thanks for all the support!,user0112,10000,Real,0.97,
Click here to claim your reward now!,user0113,8702,Fake,0.98,"reward, click, claim"
Join us for the live event tomorrow.,user0114,6247,Real,0.94,
Click here to claim your free now!,user0115,3060,Fake,0.95,"free, click, claim"
Click here to claim your prize now!,user0116,4720,Fake,0.86,"prize, click, claim"
Click here to claim your winner now!,user0117,297,Fake,0.94,"winner, click, claim"
Join us for the live event tomorrow.,user0118,6482,Real,0.87,
Click here to claim your reward now!,user0119,5048,Fake,0.87,"reward, click, claim"
Grateful for 10K followers!,user0120,6814,Real,0.94,
Click here to claim your selected now!,user0121,5122,Fake,0.89,"selected, click, claim"
Click here to claim your reward now!,user0122,7215,Fake,0.94,"reward, click, claim"
Click here to claim your free now!,user0123,7977,Fake,0.96,"free, click, claim"
Excited to announce our new product.,user0124,3735,Real,0.9,
Excited to announce our new product.,user0125,2878,Real,0.94,
Grateful for 10K followers!,user0126,7089,Real,0.87,
Click here to claim your claim now!,user0127,3767,Fake,0.91,"click, claim"
Click here to claim your selected now!,user0128,776,Fake,0.89,"selected, click, claim"
Join us for the live event tomorrow.,user0129,7180,Real,0.97,
Click here to claim your iPhone now!,user0130,4683,Fake,0.85,"click, claim"
Click here to claim your cash now!,user0131,6022,Fake,0.88,"cash, click, claim"
Click here to claim your iPhone now!,user0132,8885,Fake,0.9,"click, claim"
Excited to announce our new product.,user0133,7556,Real,0.9,
Click here to claim your claim now!,user0134,5328,Fake,0.88,"click, claim"
Thanks for all the support!,user0135,5579,Real,0.95,
Join us for the live event tomorrow.,user0136,6852,Real,0.87,
We just hit a milestone!,user0137,8407,Real,0.95,
Excited to announce our new product.,user0138,2402,Real,0.91,
Click here to claim your cash now!,user0139,2381,Fake,0.86,"cash, click, claim"
Click here to claim your selected now!,user0140,2722,Fake,0.85,"selected, click, claim"
Excited to announce our new product.,user0141,5142,Real,0.93,
Join us for the live event tomorrow.,user0142,261,Real,0.9,
Click here to claim your claim now!,user0143,3595,Fake,0.93,"click, claim"
Click here to claim your selected now!,user0144,305,Fake,0.92,"selected, click, claim"
Click here to claim your claim now!,user0145,2588,Fake,0.98,"click, claim"
Grateful for 10K followers!,user0146,4125,Real,0.87,
Click here to claim your reward now!,user0147,1396,Fake,0.89,"reward, click, claim"
Click here to claim your click now!,user0148,9087,Fake,0.94,"click, claim"
We just hit a milestone!,user0149,6952,Real,0.91,
Grateful for 10K followers!,user0150,1294,Real,0.91,
Grateful for 10K followers!,user0151,7403,Real,0.9,
Join us for the live event tomorrow.,user0152,4924,Real,0.86,
Join us for the live event tomorrow.,user0153,1684,Real,0.94,
Click here to claim your congratulations now!,user0154,1741,Fake,0.98,"click, claim, congratulations"
Grateful for 10K followers!,user0155,880,Real,0.98,
Thanks for all the support!,user0156,1533,Real,0.89,
Click here to claim your claim now!,user0157,1296,Fake,0.89,"click, claim"
Excited to announce our new product.,user0158,9824,Real,0.97,
We just hit a milestone!,user0159,9623,Real,0.91,
Excited to announce our new product.,user0160,9179,Real,0.87,
Thanks for all the support!,user0161,9607,Real,0.89,
Thanks for all the support!,user0162,9711,Real,0.86,
We just hit a milestone!,user0163,2618,Real,0.86,
We just hit a milestone!,user0164,4335,Real,0.93,
Join us for the live event tomorrow.,user0165,2027,Real,0.97,
Click here to claim your click now!,user0166,4435,Fake,0.87,"click, claim"
Click here to claim your congratulations now!,user0167,2145,Fake,0.87,"click, claim, congratulations"
Click here to claim your iPhone now!,user0168,1778,Fake,0.87,"click, claim"
Join us for the live event tomorrow.,user0169,7348,Real,0.97,
Click here to claim your selected now!,user0170,3791,Fake,0.9,"selected, click, claim"
Click here to claim your claim now!,user0171,764,Fake,0.87,"click, claim"
We just hit a milestone!,user0172,7229,Real,0.96,
Click here to claim your congratulations now!,user0173,139,Fake,0.87,"click, claim, congratulations"
Click here to claim your reward now!,user0174,7178,Fake,0.91,"reward, click, claim"
Click here to claim your cash now!,user0175,8975,Fake,0.89,"cash, click, claim"
Join us for the live event tomorrow.,user0176,4772,Real,0.9,
Click here to claim your prize now!,user0177,2053,Fake,0.86,"prize, click, claim"
We just hit a milestone!,user0178,6710,Real,0.85,
Join us for the live event tomorrow.,user0179,4928,Real,0.99,
Grateful for 10K followers!,user0180,8094,Real,0.9,
Join us for the live event tomorrow.,user0181,8419,Real,0.86,
Click here to claim your click now!,user0182,1968,Fake,0.9,"click, claim"
Click here to claim your iPhone now!,user0183,2491,Fake,0.92,"click, claim"
We just hit a milestone!,user0184,40,Real,0.9,
Click here to claim your free now!,user0185,1643,Fake,0.88,"free, click, claim"
Thanks for all the support!,user0186,1756,Real,0.87,
Click here to claim your selected now!,user0187,1412,Fake,0.86,"selected, click, claim"
Thanks for all the support!,user0188,8707,Real,0.9,
Click here to claim your winner now!,user0189,6260,Fake,0.87,"winner, click, claim"
We just hit a milestone!,user0190,2623,Real,0.87,
Click here to claim your reward now!,user0191,6604,Fake,0.89,"reward, click, claim"
Thanks for all the support!,user0192,402,Real,0.96,
Grateful for 10K followers!,user0193,3110,Real,0.97,
Thanks for all the support!,user0194,8116,Real,0.97,
We just hit a milestone!,user0195,9784,Real,0.85,
Click here to claim your free now!,user0196,6104,Fake,0.96,"free, click, claim"
Click here to claim your winner now!,user0197,163,Fake,0.86,"winner, click, claim"
Click here to claim your reward now!,user0198,2867,Fake,0.97,"reward, click, claim"
Click here to claim your congratulations now!,user0199,7803,Fake,0.99,"click, claim, congratulations"
Click here to claim your winner now!,user0200,4485,Fake,0.9,"winner, click, claim"
Click here to claim your selected now!,user0201,7040,Fake,0.93,"selected, click, claim"
Click here to claim your click now!,user0202,9027,Fake,0.92,"click, claim"
Click here to claim your selected now!,user0203,6146,Fake,0.88,"selected, click, claim"
Thanks for all the support!,user0204,7313,Real,0.98,
Join us for the live event tomorrow.,user0205,7513,Real,0.91,
Click here to claim your winner now!,user0206,1983,Fake,0.98,"winner, click, claim"
Click here to claim your selected now!,user0207,617,Fake,0.91,"selected, click, claim"
Join us for the live event tomorrow.,user0208,2686,Real,0.95,
Click here to claim your claim now!,user0209,4197,Fake,0.92,"click, claim"
Click here to claim your prize now!,user0210,9393,Fake,0.9,"prize, click, claim"
Click here to claim your reward now!,user0211,3146,Fake,0.96,"reward, click, claim"
Thanks for all the support!,user0212,8698,Real,0.86,
Click here to claim your congratulations now!,user0213,5831,Fake,0.95,"click, claim, congratulations"
Thanks for all the support!,user0214,9567,Real,0.87,
Excited to announce our new product.,user0215,4546,Real,0.88,
Click here to claim your iPhone now!,user0216,2330,Fake,0.98,"click, claim"
Excited to announce our new product.,user0217,1623,Real,0.96,
Click here to claim your winner now!,user0218,5867,Fake,0.99,"winner, click, claim"
Grateful for 10K followers!,user0219,9239,Real,0.86,
Excited to announce our new product.,user0220,183,Real,0.91,
Click here to claim your reward now!,user0221,7187,Fake,0.91,"reward, click, claim"
Click here to claim your winner now!,user0222,7142,Fake,0.98,"winner, click, claim"
Click here to claim your click now!,user0223,266,Fake,0.93,"click, claim"
Click here to claim your click now!,user0224,8641,Fake,0.91,"click, claim"
Join us for the live event tomorrow.,user0225,2747,Real,0.97,
Click here to claim your prize now!,user0226,5569,Fake,0.85,"prize, click, claim"
We just hit a milestone!,user0227,2031,Real,0.86,
Grateful for 10K followers!,user0228,7702,Real,0.95,
Click here to claim your winner now!,user0229,4471,Fake,0.96,"winner, click, claim"
Click here to claim your cash now!,user0230,2817,Fake,0.85,"cash, click, claim"
Click here to claim your prize now!,user0231,4093,Fake,0.95,"prize, click, claim"
We just hit a milestone!,user0232,777,Real,0.91,
Thanks for all the support!,user0233,1139,Real,0.86,
Join us for the live event tomorrow.,user0234,9060,Real,0.92,
We just hit a milestone!,user0235,3844,Real,0.9,
Click here to claim your iPhone now!,user0236,5328,Fake,0.95,"click, claim"
Click here to claim your winner now!,user0237,1269,Fake,0.86,"winner, click, claim"
Grateful for 10K followers!,user0238,6306,Real,0.89,
Click here to claim your prize now!,user0239,3907,Fake,0.91,"prize, click, claim"
Grateful for 10K followers!,user0240,2491,Real,0.88,
Click here to claim your free now!,user0241,185,Fake,0.94,"free, click, claim"
Grateful for 10K followers!,user0242,7041,Real,0.97,
Click here to claim your prize now!,user0243,5161,Fake,0.95,"prize, click, claim"
Click here to claim your congratulations now!,user0244,1136,Fake,0.94,"click, claim, congratulations"
Grateful for 10K followers!,user0245,6884,Real,0.85,
Click here to claim your claim now!,user0246,4342,Fake,0.86,"click, claim"
Click here to claim your congratulations now!,user0247,9721,Fake,0.93,"click, claim, congratulations"
Thanks for all the support!,user0248,927,Real,0.95,
Excited to announce our new product.,user0249,8358,Real,0.9,
Click here to claim your selected now!,user0250,3714,Fake,0.95,"selected, click, claim"
We just hit a milestone!,user0251,1624,Real,0.85,
Join us for the live event tomorrow.,user0252,76,Real,0.88,
Thanks for all the support!,user0253,7972,Real,0.94,
Join us for the live event tomorrow.,user0254,8179,Real,0.88,
Excited to announce our new product.,user0255,2763,Real,0.86,
Click here to claim your free now!,user0256,4879,Fake,0.97,"free, click, claim"
Click here to claim your claim now!,user0257,1057,Fake,0.89,"click, claim"
Thanks for all the support!,user0258,985,Real,0.86,
Excited to announce our new product.,user0259,3310,Real,0.9,
Click here to claim your cash now!,user0260,4838,Fake,0.93,"cash, click, claim"
Click here to claim your winner now!,user0261,156,Fake,0.99,"winner, click, claim"
Click here to claim your click now!,user0262,1380,Fake,0.96,"click, claim"
Join us for the live event tomorrow.,user0263,1511,Real,0.96,
Click here to claim your congratulations now!,user0264,4142,Fake,0.93,"click, claim, congratulations"
Click here to claim your reward now!,user0265,5667,Fake,0.92,"reward, click, claim"
Excited to announce our new product.,user0266,966,Real,0.91,
Excited to announce our new product.,user0267,5017,Real,0.96,
We just hit a milestone!,user0268,6660,Real,0.88,
Click here to claim your claim now!,user0269,713,Fake,0.94,"click, claim"
Click here to claim your free now!,user0270,7006,Fake,0.88,"free, click, claim"
Click here to claim your selected now!,user0271,3333,Fake,0.91,"selected, click, claim"
Click here to claim your congratulations now!,user0272,7901,Fake,0.95,"click, claim, congratulations"
Excited to announce our new product.,user0273,4400,Real,0.91,
Click here to claim your winner now!,user0274,9398,Fake,0.89,"winner, click, claim"
Thanks for all the support!,user0275,4337,Real,0.93,
Click here to claim your winner now!,user0276,2547,Fake,0.85,"winner, click, claim"
Click here to claim your cash now!,user0277,9927,Fake,0.88,"cash, click, claim"
Click here to claim your click now!,user0278,852,Fake,0.92,"click, claim"
Click here to claim your iPhone now!,user0279,6697,Fake,0.94,"click, claim"
We just hit a milestone!,user0280,6934,Real,0.87,
We just hit a milestone!,user0281,8280,Real,0.96,
Click here to claim your selected now!,user0282,4224,Fake,0.98,"selected, click, claim"
We just hit a milestone!,user0283,103,Real,0.95,
Thanks for all the support!,user0284,1503,Real,0.9,
Click here to claim your prize now!,user0285,1756,Fake,0.87,"prize, click, claim"
Click here to claim your winner now!,user0286,7582,Fake,0.88,"winner, click, claim"
We just hit a milestone!,user0287,7079,Real,0.9,
Join us for the live event tomorrow.,user0288,4805,Real,0.92,
We just hit a milestone!,user0289,7494,Real,0.87,
Click here to claim your prize now!,user0290,1312,Fake,0.96,"prize, click, claim"
Click here to claim your selected now!,user0291,971,Fake,0.87,"selected, click, claim"
Grateful for 10K followers!,user0292,5158,Real,0.92,
Grateful for 10K followers!,user0293,7384,Real,0.93,
Click here to claim your click now!,user0294,9349,Fake,0.87,"click, claim"
Click here to claim your congratulations now!,user0295,4175,Fake,0.96,"click, claim, congratulations"
Join us for the live event tomorrow.,user0296,947,Real,0.97,
Grateful for 10K followers!,user0297,2687,Real,0.9,
Thanks for all the support!,user0298,422,Real,0.9,
Excited to announce our new product.,user0299,4628,Real,0.92,
Grateful for 10K followers!,user0300,6356,Real,0.91,
Thanks for all the support!,user0301,1260,Real,0.85,
We just hit a milestone!,user0302,3220,Real,0.92,
Click here to claim your congratulations now!,user0303,4809,Fake,0.88,"click, claim, congratulations"
Excited to announce our new product.,user0304,8945,Real,0.92,
Click here to claim your prize now!,user0305,5334,Fake,0.93,"prize, click, claim"
Click here to claim your congratulations now!,user0306,9328,Fake,0.85,"click, claim, congratulations"
We just hit a milestone!,user0307,7733,Real,0.97,
Click here to claim your free now!,user0308,7108,Fake,0.97,"free, click, claim"
Click here to claim your free now!,user0309,8273,Fake,0.97,"free, click, claim"
Click here to claim your selected now!,user0310,393,Fake,0.87,"selected, click, claim"
Thanks for all the support!,user0311,1212,Real,0.91,
Click here to claim your congratulations now!,user0312,6188,Fake,0.95,"click, claim, congratulations"
Thanks for all the support!,user0313,3969,Real,0.96,
Excited to announce our new product.,user0314,2841,Real,0.87,
Thanks for all the support!,user0315,8776,Real,0.92,
Join us for the live event tomorrow.,user0316,7768,Real,0.88,
Grateful for 10K followers!,user0317,1336,Real,0.85,
Click here to claim your free now!,user0318,3544,Fake,0.96,"free, click, claim"
Thanks for all the support!,user0319,9094,Real,0.86,
Excited to announce our new product.,user0320,1511,Real,0.93,
Click here to claim your congratulations now!,user0321,5866,Fake,0.9,"click, claim, congratulations"
Excited to announce our new product.,user0322,7407,Real,0.88,
Excited to announce our new product.,user0323,8179,Real,0.95,
Click here to claim your congratulations now!,user0324,9775,Fake,0.86,"click, claim, congratulations"
Click here to claim your winner now!,user0325,6466,Fake,0.96,"winner, click, claim"
Grateful for 10K followers!,user0326,6128,Real,0.96,
Thanks for all the support!,user0327,901,Real,0.86,
Click here to claim your click now!,user0328,9114,Fake,0.93,"click, claim"
Click here to claim your free now!,user0329,4825,Fake,0.86,"free, click, claim"
Join us for the live event tomorrow.,user0330,1602,Real,0.96,
Grateful for 10K followers!,user0331,5911,Real,0.94,
Click here to claim your prize now!,user0332,3500,Fake,0.9,"prize, click, claim"
Excited to announce our new product.,user0333,5182,Real,0.88,
Click here to claim your prize now!,user0334,5946,Fake,0.86,"prize, click, claim"
Click here to claim your click now!,user0335,8701,Fake,0.98,"click, claim"
Click here to claim your prize now!,user0336,2895,Fake,0.95,"prize, click, claim"
Excited to announce our new product.,user0337,6208,Real,0.98,
Click here to claim your click now!,user0338,7913,Fake,0.9,"click, claim"
Grateful for 10K followers!,user0339,3494,Real,0.93,
Click here to claim your free now!,user0340,8654,Fake,0.91,"free, click, claim"
Click here to claim your selected now!,user0341,2025,Fake,0.85,"selected, click, claim"
Click here to claim your winner now!,user0342,2393,Fake,0.93,"winner, click, claim"
Click here to claim your cash now!,user0343,303,Fake,0.9,"cash, click, claim"
Excited to announce our new product.,user0344,3254,Real,0.92,
Join us for the live event tomorrow.,user0345,4182,Real,0.97,
Thanks for all the support!,user0346,208,Real,0.89,
Click here to claim your claim now!,user0347,6108,Fake,0.89,"click, claim"
Join us for the live event tomorrow.,user0348,3595,Real,0.92,
Excited to announce our new product.,user0349,3747,Real,0.87,
Click here to claim your free now!,user0350,652,Fake,0.98,"free, click, claim"
Click here to claim your claim now!,user0351,8956,Fake,0.9,"click, claim"
We just hit a milestone!,user0352,6784,Real,0.88,
Click here to claim your congratulations now!,user0353,2382,Fake,0.93,"click, claim, congratulations"
Click here to claim your congratulations now!,user0354,7860,Fake,0.9,"click, claim, congratulations"
Thanks for all the support!,user0355,5593,Real,0.93,
Click here to claim your iPhone now!,user0356,5421,Fake,0.91,"click, claim"
Excited to announce our new product.,user0357,1171,Real,0.92,
Click here to claim your reward now!,user0358,5447,Fake,0.96,"reward, click, claim"
Join us for the live event tomorrow.,user0359,2437,Real,0.89,
Click here to claim your click now!,user0360,9552,Fake,0.94,"click, claim"
Click here to claim your selected now!,user0361,2252,Fake,0.86,"selected, click, claim"
Click here to claim your claim now!,user0362,8811,Fake,0.91,"click, claim"
Join us for the live event tomorrow.,user0363,8299,Real,0.85,
Excited to announce our new product.,user0364,9005,Real,0.9,
Click here to claim your winner now!,user0365,374,Fake,0.95,"winner, click, claim"
Join us for the live event tomorrow.,user0366,6220,Real,0.9,
Join us for the live event tomorrow.,user0367,6213,Real,0.86,
Grateful for 10K followers!,user0368,608,Real,0.86,
Click here to claim your prize now!,user0369,9116,Fake,0.86,"prize, click, claim"
Grateful for 10K followers!,user0370,5632,Real,0.9,
Click here to claim your prize now!,user0371,122,Fake,0.91,"prize, click, claim"
Click here to claim your free now!,user0372,2980,Fake,0.96,"free, click, claim"
Join us for the live event tomorrow.,user0373,1631,Real,0.97,
Grateful for 10K followers!,user0374,5275,Real,0.9,
Excited to announce our new product.,user0375,2512,Real,0.87,
Click here to claim your free now!,user0376,2199,Fake,0.89,"free, click, claim"
Thanks for all the support!,user0377,9220,Real,0.98,
We just hit a milestone!,user0378,9313,Real,0.89,
We just hit a milestone!,user0379,2923,Real,0.92,
Click here to claim your winner now!,user0380,6887,Fake,0.97,"winner, click, claim"
Click here to claim your cash now!,user0381,7536,Fake,0.91,"cash, click, claim"
Click here to claim your iPhone now!,user0382,6288,Fake,0.98,"click, claim"
We just hit a milestone!,user0383,8419,Real,0.87,
Click here to claim your claim now!,user0384,1171,Fake,0.94,"click, claim"
Grateful for 10K followers!,user0385,4707,Real,0.96,
Click here to claim your selected now!,user0386,7214,Fake,0.94,"selected, click, claim"
Excited to announce our new product.,user0387,7241,Real,0.92,
We just hit a milestone!,user0388,5054,Real,0.87,
Grateful for 10K followers!,user0389,6396,Real,0.91,
Excited to announce our new product.,user0390,3377,Real,0.87,
Click here to claim your cash now!,user0391,2451,Fake,0.96,"cash, click, claim"
Excited to announce our new product.,user0392,3133,Real,0.93,
Click here to claim your free now!,user0393,9708,Fake,0.87,"free, click, claim"
Click here to claim your free now!,user0394,9569,Fake,0.95,"free, click, claim"
Click here to claim your cash now!,user0395,6775,Fake,0.89,"cash, click, claim"
We just hit a milestone!,user0396,8157,Real,0.9,
Click here to claim your claim now!,user0397,8563,Fake,0.85,"click, claim"
Excited to announce our new product.,user0398,5843,Real,0.86,
Click here to claim your prize now!,user0399,8870,Fake,0.89,"prize, click, claim"
Click here to claim your free now!,user0400,7515,Fake,0.98,"free, click, claim"
Click here to claim your cash now!,user0401,8371,Fake,0.92,"cash, click, claim"
Click here to claim your prize now!,user0402,1885,Fake,0.98,"prize, click, claim"
Click here to claim your reward now!,user0403,1237,Fake,0.92,"reward, click, claim"
Click here to claim your congratulations now!,user0404,7313,Fake,0.98,"click, claim, congratulations"
Click here to claim your selected now!,user0405,5323,Fake,0.98,"selected, click, claim"
Click here to claim your claim now!,user0406,4568,Fake,0.97,"click, claim"
Click here to claim your iPhone now!,user0407,1298,Fake,0.87,"click, claim"
Click here to claim your selected now!,user0408,9493,Fake,0.98,"selected, click, claim"
Click here to claim your reward now!,user0409,1750,Fake,0.91,"reward, click, claim"
We just hit a milestone!,user0410,1357,Real,0.96,
Click here to claim your click now!,user0411,290,Fake,0.95,"click, claim"
Excited to announce our new product.,user0412,826,Real,0.96,
Join us for the live event tomorrow.,user0413,2951,Real,0.88,
Excited to announce our new product.,user0414,5310,Real,0.89,
Click here to claim your click now!,user0415,2455,Fake,0.97,"click, claim"
Click here to claim your winner now!,user0416,1806,Fake,0.87,"winner, click, claim"
Excited to announce our new product.,user0417,2376,Real,0.92,
Click here to claim your click now!,user0418,8910,Fake,0.87,"click, claim"
Thanks for all the support!,user0419,2296,Real,0.93,
Join us for the live event tomorrow.,user0420,8123,Real,0.96,
Click here to claim your claim now!,user0421,4362,Fake,0.88,"click, claim"
Click here to claim your reward now!,user0422,2147,Fake,0.97,"reward, click, claim"
We just hit a milestone!,user0423,2304,Real,0.88,
Join us for the live event tomorrow.,user0424,924,Real,0.98,
Grateful for 10K followers!,user0425,5933,Real,0.88,
Click here to claim your click now!,user0426,8852,Fake,0.98,"click, claim"
Click here to claim your iPhone now!,user0427,1905,Fake,0.91,"click, claim"
We just hit a milestone!,user0428,1228,Real,0.97,
Thanks for all the support!,user0429,6297,Real,0.94,
Click here to claim your prize now!,user0430,8110,Fake,0.94,"prize, click, claim"
Click here to claim your iPhone now!,user0431,8529,Fake,0.96,"click, claim"
We just hit a milestone!,user0432,4629,Real,0.9,
Click here to claim your claim now!,user0433,1215,Fake,0.89,"click, claim"
Click here to claim your reward now!,user0434,5249,Fake,0.85,"reward, click, claim"
Click here to claim your prize now!,user0435,2066,Fake,0.96,"prize, click, claim"
Click here to claim your prize now!,user0436,4442,Fake,0.95,"prize, click, claim"
We just hit a milestone!,user0437,8997,Real,0.95,
Click here to claim your congratulations now!,user0438,2669,Fake,0.88,"click, claim, congratulations"
Excited to announce our new product.,user0439,7985,Real,0.86,
Join us for the live event tomorrow.,user0440,2672,Real,0.98,
Join us for the live event tomorrow.,user0441,8717,Real,0.92,
Click here to claim your reward now!,user0442,1777,Fake,0.86,"reward, click, claim"
Thanks for all the support!,user0443,190,Real,0.98,
We just hit a milestone!,user0444,2273,Real,0.97,
